EnglishWord,EnglishSentence,Translation,DayNumber,Repeat
abolish,The government is considering a proposal to abolish outdated regulations.,Правительство рассматривает предложение об отмене устаревших нормативных актов.,2,FALSE
abolish,The committee voted unanimously to abolish the existing policy.,Комитет единогласно проголосовал за отмену существующей политики.,2,FALSE
abolish,It is imperative to abolish practices that discriminate against certain groups.,"Крайне важно отменить практику, дискриминирующую определенные группы.",2,FALSE
abolish,The organization aims to abolish poverty through sustainable development initiatives.,Организация стремится искоренить бедность посредством инициатив устойчивого развития.,2,FALSE
abolish,The legislation seeks to abolish the death penalty in the state.,Законодательство направлено на отмену смертной казни в штате.,2,TRUE
abolish,The international treaty aims to abolish the use of chemical weapons.,Международный договор направлен на отмену использования химического оружия.,2,TRUE
abolish,The council plans to abolish the tolls on the highway to improve transportation access.,"Совет планирует отменить плату за проезд по шоссе, чтобы улучшить транспортную доступность.",2,FALSE
abolish,The constitution was amended to abolish the monarchy and establish a democratic republic.,"В конституцию были внесены поправки, направленные на отмену монархии и установление демократической республики.",2,FALSE
abolish,The judicial system is working towards abolishing disparities in sentencing.,Судебная система работает над устранением различий в вынесении приговоров.,2,FALSE
abolish,Efforts are underway to abolish child labor worldwide through education and advocacy.,Во всем мире прилагаются усилия по отмене детского труда посредством образования и пропаганды.,2,FALSE
abolish,"Dude, we should totally abolish homework, it's such a drag.","Чувак, нам следует полностью отменить домашнее задание, это такое бремя.",2,FALSE
abolish,"Let's abolish the idea of dress codes, it's all about self-expression, right?","Давайте упраздним идею дресс-кода, ведь все дело в самовыражении, верно?",2,FALSE
abolish,"I wish we could abolish Mondays, they're the worst!","Я бы хотел отменить понедельники, они самые худшие!",2,FALSE
abolish,"They really need to abolish these crazy parking fees, it's highway robbery.","Им действительно нужно отменить эти сумасшедшие сборы за парковку, это грабеж на шоссе.",2,FALSE
abolish,Can you believe they still haven't abolished daylight saving time? It messes with my sleep schedule every year.,"Можете ли вы поверить, что они до сих пор не отменили летнее время? Каждый год это нарушает мой график сна.",2,FALSE
abolish,"I'm all for abolishing strict curfews for adults, we're not kids anymore.","Я за отмену строгого комендантского часа для взрослых, мы уже не дети.",2,FALSE
abolish,"We should abolish speed limits on highways, it's all about getting there faster.","Нам следует отменить ограничения скорости на автомагистралях, все дело в том, чтобы добраться туда быстрее.",2,FALSE
abolish,"Let's abolish the tradition of wearing uncomfortable formal attire to weddings, it's time for some casual vibes.","Давайте откажемся от традиции носить неудобную официальную одежду на свадьбах, пришло время для непринужденной атмосферы.",2,FALSE
abolish,"It's time to abolish these ridiculous fees banks charge for overdrafts, it's just unfair.","Пришло время отменить эти нелепые комиссии, которые банки взимают за овердрафты, это просто несправедливо.",2,FALSE
abolish,"We should abolish the stigma around mental health issues, everyone deserves support and understanding.","Мы должны отменить стигму вокруг проблем психического здоровья, каждый заслуживает поддержки и понимания.",2,FALSE
pour,May I please pour you a glass of water?,Могу я налить вам стакан воды?,1,FALSE
pour,Could you kindly pour the wine into the decanter?,Не могли бы вы налить вино в графин?,1,FALSE
pour,I would be happy to pour some tea for you.,Я буду рад налить вам чаю.,1,FALSE
pour,Allow me to pour the soup into your bowl.,Позвольте мне налить суп в вашу тарелку.,1,TRUE
pour,Would you prefer me to pour the milk into your cereal?,"Вы бы предпочли, чтобы я налил молоко в ваши хлопья?",1,FALSE
pour,Permit me to pour the coffee into your cup.,Разрешите мне налить кофе в вашу чашку.,1,FALSE
pour,"If you don't mind, I'll pour some juice into your glass.","Если не возражаешь, я налью тебе в стакан немного сока.",1,FALSE
pour,I'll pour the gravy onto your plate.,Я налью подливку тебе на тарелку.,1,FALSE
pour,Let me pour some dressing onto your salad.,Давай я полью немного заправки на твой салат.,1,FALSE
pour,Shall I pour some sauce onto your pasta?,Мне налить немного соуса на твои макароны?,1,FALSE
pour,"Hey, wanna pour yourself a drink?","Эй, хочешь налить себе выпить?",1,FALSE
pour,"Yo, pour me some of that soda, will ya?","Эй, налей мне немного этой газировки, ладно?",1,FALSE
pour,Can you pour some ketchup on my fries?,Можешь налить мне немного кетчупа на картошку фри?,1,FALSE
pour,"Hey, could you pour a bit of beer into my glass?","Эй, не мог бы ты налить мне в стакан немного пива?",1,FALSE
pour,"Dude, pour some syrup on my pancakes!","Чувак, налей мне сиропа на блины!",1,FALSE
pour,"Babe, could you pour some wine into my glass?","Детка, не могла бы ты налить мне вина в бокал?",1,FALSE
pour,"Hey, let's pour some hot sauce on these wings!","Эй, давайте полейте эти крылышки острым соусом!",1,FALSE
pour,"Buddy, pour some more gravy on my mashed potatoes!","Дружище, налей мне еще подливки на пюре!",1,FALSE
pour,"Sweetie, could you pour some melted butter on my popcorn?","Милая, не могла бы ты налить мне растопленного масла на попкорн?",1,FALSE
pour,"Guys, let's pour some dressing on this salad!","Ребята, а давайте польем этот салат заправкой!",1,TRUE
